train_eps_1,train_eps_2,train_eps_3,train_eps_4,train_eps_5,train_eps_6,train_eps_7,train_eps_8,train_eps_9,train_eps_10,train_eps_11,train_eps_12,train_eps_13
-0.0110697869095294,-0.0642493876143047,-0.0370180181842468,-0.0275926028041936,-0.0817971675163337,0.0142281737530617,-0.186777204094758,-0.0887807021358822,-0.120145756587226,-0.189974161254624,-0.092985952863265,0.0496330575142741,0.0936163592355386
-0.537891582127611,-0.311028861601025,-0.432547629167021,-0.401123194435236,-0.523498503360705,-0.299252027157511,-0.365413437591429,-0.542895917791681,-0.542643062121444,-0.460119282335692,-0.382796030479008,-0.380030341564931,-0.479106741343053
-0.402619555376224,-0.434395233134305,-0.453388053089403,-0.312137443296082,-0.41271464025099,-0.460664779237174,-0.254414961711474,-0.327955243775653,-0.203180521270679,-0.455468204671965,-0.192112623764743,-0.502977268821675,-0.412766293811537
-0.595800352357062,-0.580600785349581,-0.504651371118164,-0.484027218905454,-0.400264966856268,-0.325596875700911,-0.406527388535883,-0.253809024908049,-0.248281456725454,-0.358683054265886,-0.146489489491345,-1.21711104921797,-0.832492433697251
-0.130924097520568,-0.0659593122024934,-0.133808783290516,-0.0763974222831102,0.0363340760716471,-0.147058720193496,-0.127354681798304,-0.1935396690002,-0.188280048162608,-0.213338845095809,-0.135719022912922,-0.818462590813335,-0.566706273134485
-1.10250366778539,-1.05221835347616,-1.13685755968499,-1.26030222054992,-1.22053770192672,-1.27937662800051,-1.09137218255573,-0.872297558342716,-0.912680507237246,-0.96956348126658,-0.961791532196045,-0.143354691394676,-0.400383794342341
-0.229675070400548,-0.144765369905271,-0.271659158578825,-0.233799797158477,-0.447472836095452,-0.289547733273269,-0.345699659885225,-0.394736846423952,-0.247210143570592,-0.193897351172906,-0.287074146428407,-0.400901029203108,-0.42866173616894
-0.704388383287981,-0.825038190712249,-0.882742435466622,-0.781137235298517,-0.75511883664151,-0.466742275316894,-0.621505984486973,-0.345346283268128,-0.226645283482103,-0.314901007088495,-0.288010935617149,-0.33499086866917,-0.208582787408632
-0.156283631268265,-0.0737443560887927,-0.0992561486477627,-0.127637523987613,-0.230631055252059,-0.127809821557475,-0.282508425386708,-0.0623444783058261,-0.175331620381927,-0.047721207772256,-0.0105230924927029,-0.219165433164151,-0.111722458707734
-1.46945803084096,-1.56860632416259,-1.53447660308857,-1.29701348791925,-1.31054370013416,-1.11466032831196,-1.09142969801586,-0.920360543217677,-0.709669984048846,-0.991818912861438,-0.539092646991734,-0.0688427472017599,-0.0143251452959909
-0.335518824374582,-0.244705807585606,-0.309436256225207,-0.268411480662796,-0.0977549256802456,-0.177000365997326,-0.0986918707499647,-0.179740466016,-0.0292124353792965,-0.0745494669644125,-0.188163064332902,-0.0352897240514007,-0.251577482220035
0.0103070026237494,0.140354613257967,-0.0154610753517843,-0.117824372266964,-0.0839528683477266,0.0279300207152001,-0.163986342658896,0.0604089530060657,0.0245288163647376,-0.140870069974187,-0.00773442536687825,-0.363032792368903,-0.591558403848515
-0.390486615047181,-0.296589540379488,-0.177284137355825,-0.145687719781241,-0.302365105926388,-0.383558374174623,-0.289353703461039,-0.387721881079699,-0.572496855897189,-0.367224108815825,-0.46547344595547,-0.534657040328306,-0.460398900641634
-0.331996808857726,-0.208690808030606,-0.0773677210002132,-0.212467520264052,-0.288372392827348,-0.28154980985915,-0.244473949821046,-0.185158079139687,-0.238613889566861,-0.210654858199619,-0.244679776670208,-0.154927336954647,0.00382970939125631
-1.00318143593096,-1.05197484934296,-1.0978959716628,-0.999646277060019,-1.07383688372101,-0.905539412389511,-1.26227027075056,-1.2415502288352,-1.27994938229383,-1.3853531001428,-1.44878490174728,-0.234877372127528,0.0217664415045594
-0.151322788459558,-0.196589297372166,-0.100736177111985,0.0292767048355325,0.0558522020933257,-0.03893167184579,-0.19087699089043,0.0249381005154429,0.0347378122588793,-0.119970560553661,-0.18842194365139,-0.0124809911099331,0.0336774950678354
-0.19491233467095,-0.393360613778563,-0.287645821545227,-0.359136375889391,-0.297639492061393,-0.376496602052879,-0.317654449479936,-0.281762708002918,-0.201678927780712,-0.386298744376265,-0.471193709371319,-0.612160652938294,-0.300209277282053
-0.970001185074654,-0.893692139453966,-0.872486901465919,-0.834902554098235,-0.841446732102026,-0.685237858975757,-0.840304850404027,-0.780511845342644,-0.77899110914101,-0.940413966110777,-0.728873982877049,-0.00586700773464159,-0.0480728975317622
-0.837053709400372,-0.967372563329639,-0.868352314246643,-1.10289978270522,-1.12708162807287,-1.19549736567623,-1.18468633869896,-1.17945562954173,-1.16773544028411,-1.19964098122942,-1.2137211793472,-0.259974277233955,-0.012087364544529
-0.195636891580877,-0.437919431101182,-0.343057382845555,-0.307854447695864,-0.321616573774462,-0.318200864662706,-0.201354531361312,-0.296538022750466,-0.35441036943667,-0.13459792151207,-0.136934805371045,-1.09546856878891,-1.25763548373086
-0.729841844935863,-0.504022956203394,-0.597065988973082,-0.568469237195745,-0.482704823097933,-0.836995403693813,-0.659267151699739,-0.883533487657545,-0.992379773711995,-0.941926839807319,-1.00380577014014,-0.896039623126872,-0.501006454348051
