train_u_1,train_u_2,train_u_3,train_u_4,train_u_5,train_u_6,train_u_7,train_u_8,train_u_9,train_u_10,train_u_11,train_u_12,train_u_13
0.259615719684508,0.328548387588905,0.328244549235902,0.352294184890402,0.382467944148552,0.342901850298343,0.344590708637752,0.289308966482417,0.319750406889753,0.317722074032662,0.318407147905873,0.625448599902268,0.561410340215221
0.0838412139913632,0.0797463177758536,0.0807775664346738,0.0497065994200127,0.0290577306128094,0.0422303155710445,0.0394154973444303,0.0524847604359522,0.043922592840963,0.0537222115932242,0.0580387870170076,0.53854691249019,0.351138916592055
1.39821420498089,1.3716207319248,1.36822663553444,1.36788992101745,1.36048205018012,1.34279020014466,1.3559409401981,1.32641863789231,1.25545361633341,1.31515875130248,1.10840235971745,0.697367389485596,0.819328554226175
0.126127738799817,0.148753043623412,0.137962599320549,0.11238637622319,0.079596815371329,0.0679426792110108,0.0585175588414295,0.0455776597073056,0.0346732604413671,0.0545265034671643,0.0341812727844082,0.186299926161752,0.124441050609728
0.36898696080648,0.443231555297225,0.417870068905613,0.419180365418388,0.362223199658841,0.372684120927141,0.35629653482519,0.321715151439802,0.312868392490419,0.359125903795046,0.340926903302123,0.53737266668406,0.317131842873373
0.669366298468432,0.625723501006304,0.622169425787716,0.574163175253793,0.533927065612082,0.474532350855712,0.451898411153747,0.417970112294699,0.344404820742977,0.407918617574267,0.266235928431041,0.0906545793767298,0.130084141641663
0.323664276153084,0.335960653673048,0.342574850204266,0.366149391429107,0.401633533705145,0.329549910969596,0.337794088858024,0.310679872837869,0.310576523974514,0.333617004434705,0.296661843093304,0.0847498004900141,0.112648380285345
0.144681174809358,0.131144621538475,0.133116035615384,0.0883156249592612,0.0579360044879284,0.0915968643711688,0.103594636388273,0.159583854354653,0.139235256450838,0.176158790512972,0.171570938949674,0.452889617463784,0.175669831696162
0.394871614272402,0.40605813605526,0.400992612628213,0.379623584358416,0.329722160495759,0.296029288379932,0.260441898067339,0.220769460192683,0.194856950756023,0.222876657478953,0.177564058357925,0.52909061614742,0.616434677816822
0.415280976251717,0.402749787998035,0.409183244178677,0.393199213459723,0.386413611325679,0.477667834095552,0.515105913021055,0.64470821400914,0.67022094248262,0.67271342668167,0.873423138755998,0.657871329445999,0.561683488050403
