"u_hat","V_u_hat"
0.11607873920987,2.66775340217159e-05
0.140097475372624,2.76205741244404e-05
0.15348074928634,2.84922119042666e-05
0.122812747979681,1.73720627953486e-05
0.080966155363735,6.55446261359721e-06
0.0990612909734552,8.55173964248991e-06
0.0945545146447014,5.65368048739355e-06
0.0649348629493067,8.37136071670032e-06
0.0698322177001714,7.72506392957653e-06
0.0474542477602489,1.66901851179367e-05
0.0683895956013733,6.54831694107143e-06
0.0519428673121164,1.03749183813416e-05
0.534375284938394,3.3051469610195e-05
0.489932435464178,4.96723419338284e-05
0.409006644038962,3.1467507176911e-05
0.296141669925049,2.66839920592625e-05
0.422430485020788,2.37910913759827e-05
0.450927666536663,2.85202037993381e-05
0.601773142029993,4.21909791863538e-05
0.518725225541553,2.90109224142995e-05
0.462090236741587,2.6974039120863e-05
0.444246706850913,3.29048757891524e-05
0.363097518529868,2.90043873971438e-05
0.352901455039538,5.74932985617107e-05
0.365688708039513,3.48832705460818e-05
0.342594492074523,8.60968479086058e-05
0.305186200740138,0.000115918019656099
0.404224678589817,2.65934125914199e-05
0.240462949605594,2.05837008643398e-05
0.414449576411955,6.79434813411537e-05
0.521938537144174,2.32444261853356e-05
0.558606518479261,3.66749961778524e-05
0.810410726693202,2.58580333123001e-05
0.824903584121068,1.87078115596383e-05
0.758174612032084,2.49575087243253e-05
0.842311417699237,7.76781865464672e-05
0.502778821624791,0.000155847249304664
1.28634043427459,0.000145110273634065
0.2566339094133,3.7101537360126e-05
0.280226788762159,5.95558689286927e-05
0.261814978821324,3.24748942268195e-05
0.137932080424613,2.15194261105022e-05
0.318000925509884,1.67583211065577e-05
0.275330113846458,5.05097374440553e-05
0.142277371598835,2.90054666767936e-05
0.127504953432059,1.53086545301965e-05
0.294313901838357,2.10714614173862e-05
0.198462993559038,4.48299474383197e-05
0.123919248158449,1.44790234046631e-05
0.114220515940636,1.41537959933643e-05
0.10959071828261,1.93432152780596e-05
0.311544453803865,5.45799014490289e-05
0.239998796117389,2.56139850217545e-05
0.286625710249863,4.37730723310375e-05
0.20468910933517,4.45384657492433e-05
0.278449324346078,3.87820657510312e-05
0.295289457933618,4.38326181765581e-05
0.399672020107505,3.21404596561253e-05
0.72962960549132,4.92932273897822e-05
0.666962480514962,2.64036255796376e-05
0.68764524334799,3.14973972006552e-05
0.707397357560776,3.01503860832458e-05
0.551493402580551,2.47022179568936e-05
0.284912402675342,3.89463747508097e-05
0.603366675100115,5.52708214666142e-05
0.650000161264102,4.55492821704811e-05
0.584538055362902,2.77817805993633e-05
0.578349280661171,5.32916261251655e-05
0.845321550884883,4.7955819651028e-05
1.09094073784009,3.28314739616003e-05
1.18444354924758,3.62121525626865e-05
1.54661815232731,0.000266123175646691
1.65842647839305,0.000674456801682735
1.43870963640872,0.000161005756595921
1.5902141006388,0.000305842370646646
0.803195835508667,4.28189278119245e-05
0.753152373165222,3.94583458729151e-05
0.991671484102799,0.000234122471915859
0.956916261516165,0.000175634896289275
0.823495251351079,0.000117666443633963
0.710881604052771,3.40728443162932e-05
0.776381709012971,7.53178876167806e-05
0.919690743137053,0.000194441427763085
1.10983112292464,0.000138067279148705
1.23574357452363,0.00010527232556443
1.30202076286891,0.000103699477291989
1.15210315281017,4.57253022816718e-05
1.4197556373145,0.000144666882672585
1.15763689433827,5.63612505534256e-05
1.03569994214563,5.85530719475727e-05
0.250827619071076,5.7516483859413e-05
0.228841225427388,3.08947209650306e-05
0.201718080200906,3.10486193312536e-05
0.289611579567883,2.58570247687733e-05
0.512376083843873,5.00790851627885e-05
0.446124441752375,2.03858391354795e-05
0.652245241462842,3.29497673722372e-05
0.433779119964322,6.00860895906211e-05
0.446184536374466,2.71859045042923e-05
0.319930908400719,1.89599416907239e-05
0.249063471593412,2.20312758357698e-05
0.805962224677004,2.84838963785546e-05
0.459428944195573,4.46330970079155e-05
0.220859855976338,2.33385032782336e-05
0.423174213356293,4.19999472178375e-05
0.425581803972406,2.62190826732311e-05
0.306827638308043,1.42004694689044e-05
0.348007919825136,1.0999619268588e-05
0.283774260612124,3.42724278076989e-05
0.296171802164844,1.95970240018447e-05
0.160711790611264,1.90626227201484e-05
0.242221090710951,6.40967930058882e-06
